legislator,volunteer,date,typeOfContact,notes,support,state
Dimitri Polizos,Damon Sutherland,6/26/2017,Left voicemail,"Left voicemail @ approximately 4:45 PM CST using the standard intro, no call-back.",N/A,AL
Dimitri Polizos,Damon Sutherland,7/16/2017,Emailed legislator,Emailed the representative using a variation of the standard plug,N/A,AL
Randy Davis ,Eric Peterson,7/19/2017,"Called Office, no voicemail","I called the office twice and received no answer either time. The phone just kept ringing, there was never an opportunity to leave a message.",2 - Not Confirmed,AL
Dimitri Polizos,Damon Sutherland,8/6/2017,Emailed legislator,"Emailed Representative again, logging contact _prior_ to any potential reply.",N/A,AL
Patricia Todd,Damon Sutherland,8/6/2017,Emailed legislator,Requested face-to-face meeting regarding advice/opinion for action in the next legislative session. Have not heard back.,N/A,AL
Micky Hammon,Bob Schade,8/21/2017,Emailed legislator,My first attempt to contact Micky Hammon. I called Micky Hammon's office and no one answered the phone so I sent him an email message:,N/A,AL
Patricia Todd,Damon Sutherland,9/9/2017,Emailed legislator,"Emailed draft resolution; claims to support the getting money out of politics but does not support a ""constitutional convention"" for any cause. Rep. Todd seems to think a convention made up of delegates from Trump voters would be a bad idea and I'm not sure if she realized that any amendment would have to be ratified by 3/4 of the states. Wished us luck but did not respond to my clarification; I thanked her for her time and consideration and asked that she would listen to another volunteer in the future.",2 - Not Confirmed,AL
Micky Hammon,Bob Schade,10/4/2017,Emailed legislator,No response from Micky Hammon or staff,2 - Not Confirmed,AL
Micky Hammon,Bob Schade,10/18/2017,Emailed legislator,"My name is Bob Schade. I live in Somerville, AL and work in Decatur, AL. My understanding is that you are my representative for House District 4. I am writing to you because I don’t believe us average citizens are being heard in Washington. It seems to me that special interests still have a firm grip on both the House and Senate at the national level. I am reaching out to ask you what your position is on big money in politics. This issue is very important to me and I would appreciate the opportunity to visit with you in person to discuss this issue.",2 - Not Confirmed,AL
Steve Clouse,Pierce Moore,11/13/2017,Met Legislator,"I, Pierce Moore met with Rep. Steve Clouse on Monday, Nov. 13 2017 at 10am. Rep. Clouse confirmed his support for the bill and was willing to co-sponsor the resolution if a sponsor signed on. He is concerned with the amount of dark money in elections and would like to see something done about it. He is chairman of the Ways and Means committee in the House.",1 - Supportive,AL
Kerry Rich,Bob Schade,11/13/2017,Emailed legislator,"Copy of email text: 
My name is Bob Schade. I live in Somerville, AL and work in Decatur, AL. My understanding is that you are the Alabama House Representative for District 26. I am writing to you because I don’t believe us average citizens are being heard in Washington. It seems to me that special interests still have a firm grip on both the House and Senate at the national level. I am reaching out to ask you what your position is on big money in politics. This issue is very important to me and I would appreciate the opportunity to visit with you in person to discuss this issue.",2 - Not Confirmed,AL
Kerry Rich,Bob Schade,11/13/2017,Emailed legislator,"Representative responded to my previous email and I responded as below:

Mr Schade, you are right I do represent district 26 in the Alabama House, which is Southern Marshall and a portion of Dekalb County. I represent this district in Montgomery in the Legislature, not in Washington in Congress. 

Representative Rich,

Thank you for the prompt response. I am working with a group call Wolf-Pac and we are reaching out to Alabama legislators with the hope that Alabama will become the sixth state to call for a limited amendment convention as authorized by Article V of the U.S. Constitution to restore Free and Fair Elections in America. The Article V process is the states check on the excesses of the federal government and judicial branch. Washington has tried and failed repeatedly to address campaign finance reform so I believe it is time for the states to act. I would appreciate a few moments of your time to discuss our proposed resolution and how the states can force Congress to address campaign finance reform in a meaningful way.

Thank you for your consideration,
Robert (Bob) Schade",2 - Not Confirmed,AL
Patricia Todd,Samantha Eckes,11/12/2017,Emailed legislator,"Samantha:

I totally agree with you. I do not serve in Congress, I am in the state legislature.",2 - Not Confirmed,AL
Kerry Rich,Bob Schade,11/15/2017,Emailed legislator,"Response from Representative Kerry Rich to meet:
We will not be in session until Jan 8th. Contact me then and I will be happy to meet with you. 

Sent from my iPhone

My response back:
Representative Kerry,

I will contact you once the session begins in January. Thank you for your consideration.

Best regards,",2 - Not Confirmed,AL
Dimitri Polizos,Damon Sutherland,11/18/2017,Emailed legislator,"Emailed as a constituent asking position, have yet to hear back",N/A,AL
Dick Brewbaker,Damon Sutherland,6/26/2017,Left voicemail,"Left voicemail @ approximately 4:40 PM CST using the standard intro, no call-back.",N/A,AL
Dick Brewbaker,Damon Sutherland,7/16/2017,Emailed legislator,Emailed the senator using a variation of the standard plug,N/A,AL
